object_tag,num_obj,percentAGN,error
7565.0,22.0,0.0,0.0
7566.0,22.0,0.0,0.0
7572.0,21.0,0.0,0.0
7573.0,20.0,5.0,5.123
7575.0,25.0,4.0,4.079
7581.0,23.0,0.0,0.0
7583.0,23.0,4.348,4.441
7588.0,22.0,4.545,4.648
7608.0,21.0,0.0,0.0
7615.0,21.0,0.0,0.0
7623.0,22.0,0.0,0.0
7624.0,25.0,0.0,0.0
7637.0,22.0,0.0,0.0
7640.0,27.0,0.0,0.0
7647.0,23.0,0.0,0.0
7659.0,22.0,0.0,0.0
7677.0,23.0,0.0,0.0
7681.0,20.0,5.0,5.123
7683.0,23.0,0.0,0.0
7687.0,17.0,23.529,13.076
7690.0,17.0,0.0,0.0
7696.0,21.0,0.0,0.0
7702.0,25.0,4.0,4.079
7708.0,20.0,0.0,0.0
7719.0,28.0,3.571,3.635
7722.0,4.0,50.0,43.301
7728.0,23.0,0.0,0.0
7754.0,25.0,0.0,0.0
7767.0,25.0,0.0,0.0
7772.0,17.0,11.765,8.795
7775.0,23.0,0.0,0.0
7785.0,20.0,0.0,0.0
7790.0,22.0,0.0,0.0
7793.0,21.0,0.0,0.0
7794.0,13.0,23.077,14.781
7797.0,22.0,0.0,0.0
7817.0,23.0,0.0,0.0
7821.0,26.0,0.0,0.0
7824.0,18.0,16.667,10.393
7832.0,25.0,0.0,0.0
7837.0,24.0,4.167,4.253
7855.0,23.0,0.0,0.0
7878.0,15.0,13.333,10.037
7880.0,12.0,8.333,8.674
7884.0,4.0,50.0,43.301
7890.0,21.0,0.0,0.0
7903.0,22.0,0.0,0.0
7907.0,20.0,5.0,5.123
7910.0,20.0,5.0,5.123
7912.0,20.0,0.0,0.0
7933.0,19.0,0.0,0.0
7935.0,20.0,0.0,0.0
7938.0,20.0,0.0,0.0
7939.0,23.0,4.348,4.441
7941.0,22.0,0.0,0.0
7950.0,27.0,0.0,0.0
7959.0,19.0,0.0,0.0
7960.0,23.0,0.0,0.0
7961.0,6.0,33.333,27.217
7962.0,4.0,50.0,43.301
7971.0,24.0,0.0,0.0
7975.0,21.0,0.0,0.0
7981.0,24.0,0.0,0.0
7982.0,25.0,0.0,0.0
7983.0,23.0,0.0,0.0
7985.0,21.0,0.0,0.0
7987.0,23.0,0.0,0.0
8003.0,25.0,0.0,0.0
8017.0,25.0,0.0,0.0
8020.0,27.0,0.0,0.0
8021.0,22.0,0.0,0.0
8022.0,9.0,55.556,30.987
8025.0,25.0,0.0,0.0
8026.0,26.0,3.846,3.919
8027.0,17.0,5.882,6.053
8029.0,25.0,4.0,4.079
8030.0,21.0,4.762,4.874
8038.0,24.0,4.167,4.253
8043.0,24.0,4.167,4.253
8057.0,23.0,0.0,0.0
8076.0,16.0,6.25,6.442
8081.0,19.0,10.526,7.825
8082.0,20.0,0.0,0.0
8093.0,23.0,0.0,0.0
8096.0,6.0,66.667,43.033
8124.0,23.0,0.0,0.0
8126.0,19.0,5.263,5.4
8130.0,21.0,0.0,0.0
8132.0,24.0,0.0,0.0
8135.0,19.0,5.263,5.4
8138.0,23.0,0.0,0.0
8140.0,5.0,60.0,43.818
8144.0,23.0,0.0,0.0
8146.0,24.0,0.0,0.0
8148.0,24.0,0.0,0.0
8150.0,23.0,0.0,0.0
8151.0,22.0,0.0,0.0
8163.0,19.0,10.526,7.825
8167.0,8.0,37.5,25.388
8168.0,8.0,12.5,13.258
8170.0,22.0,0.0,0.0
8171.0,21.0,0.0,0.0
8173.0,12.0,8.333,8.674
8184.0,23.0,0.0,0.0
8199.0,23.0,0.0,0.0
8201.0,11.0,18.182,13.976
8203.0,15.0,26.667,15.006
8215.0,22.0,0.0,0.0
8217.0,24.0,0.0,0.0
8221.0,22.0,0.0,0.0
8234.0,23.0,0.0,0.0
8236.0,21.0,0.0,0.0
8242.0,26.0,3.846,3.919
8252.0,21.0,0.0,0.0
8254.0,6.0,33.333,27.217
8255.0,23.0,0.0,0.0
8258.0,22.0,4.545,4.648
8259.0,24.0,0.0,0.0
8260.0,10.0,30.0,19.748
8267.0,23.0,0.0,0.0
8280.0,21.0,0.0,0.0
8282.0,23.0,0.0,0.0
8293.0,19.0,0.0,0.0
8298.0,25.0,0.0,0.0
8301.0,20.0,15.0,9.287
8304.0,22.0,0.0,0.0
8306.0,16.0,31.25,16.011
8308.0,21.0,4.762,4.874
8318.0,16.0,12.5,9.375
8319.0,23.0,0.0,0.0
8320.0,20.0,5.0,5.123
8325.0,25.0,0.0,0.0
8329.0,24.0,0.0,0.0
8332.0,25.0,0.0,0.0
8341.0,24.0,0.0,0.0
8347.0,25.0,0.0,0.0
8348.0,21.0,0.0,0.0
8349.0,23.0,0.0,0.0
8358.0,17.0,0.0,0.0
8360.0,4.0,50.0,43.301
