z,d_M,d_L
0.0087,36.19626,36.51117
0.00871,36.23774,36.55337
0.00872,36.27921,36.59557
0.00873,36.32069,36.63777
0.00874,36.36216,36.67997
0.00875,36.40364,36.72217
0.00876,36.44511,36.76437
0.00877,36.48658,36.80657
0.00878,36.52806,36.84877
0.00879,36.56953,36.89098
0.0088,36.61101,36.93318
0.00881,36.65248,36.97539
0.00882,36.69395,37.01759
0.00883,36.73542,37.0598
0.00884,36.7769,37.10201
0.00885,36.81837,37.14421
0.00886,36.85984,37.18642
0.00887,36.90131,37.22863
0.00888,36.94279,37.27084
0.00889,36.98426,37.31305
0.0089,37.02573,37.35526
0.00891,37.0672,37.39747
0.00892,37.10867,37.43968
0.00893,37.15014,37.4819
0.00894,37.19161,37.52411
0.00895,37.23309,37.56632
0.00896,37.27456,37.60854
0.00897,37.31602,37.65075
0.00898,37.35749,37.69297
0.00899,37.39896,37.73518
0.009,37.44043,37.7774
0.00901,37.4819,37.81961
0.00902,37.52337,37.86184
0.00903,37.56484,37.90405
0.00904,37.60631,37.94627
0.00905,37.64778,37.98849
0.00906,37.68925,38.03071
0.00907,37.73072,38.07293
0.00908,37.77219,38.11516
0.00909,37.81365,38.15738
0.0091,37.85512,38.1996
0.00911,37.89659,38.24183
0.00912,37.93806,38.28405
0.00913,37.97952,38.32627
0.00914,38.02099,38.3685
0.00915,38.06246,38.41073
0.00916,38.10392,38.45296
0.00917,38.14539,38.49519
0.00918,38.18686,38.53741
0.00919,38.22832,38.57964
0.0092,38.26979,38.62187
0.00921,38.31125,38.6641
0.00922,38.35272,38.70633
0.00923,38.39418,38.74857
0.00924,38.43565,38.79079
0.00925,38.47712,38.83303
0.00926,38.51858,38.87526
0.00927,38.56004,38.9175
0.00928,38.60151,38.95973
0.00929,38.64297,39.00197
0.0093,38.68444,39.0442
